player_br_id,game_br_id,half,minutes_played,team_br_id,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_pointer_attempts,three_pointer_percentage,free_throws,free_throw_attempts,free_throw_percentage,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
moranja01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
brookdi01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
valanjo01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
anderky01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
tollian01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
clarkbr01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
allengr01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
meltode01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
dienggo01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
gudurma01!!!!,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
jacksjo02!!!!,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
konchjo01!!!!,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
watanyu01!!!!,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
lillada01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
mccolcj01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
nurkiju01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
anthoca01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
colliza01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
trentga02,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
whiteha01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
gabriwe01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
hezonma01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
adamsja01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
hoardja01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
simonan01,202008150POR,1,,MEM,,,,,,,,,,,,,,,,,,,
moranja01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
brookdi01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
valanjo01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
anderky01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
tollian01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
clarkbr01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
allengr01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
meltode01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
dienggo01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
gudurma01!!!!,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
jacksjo02!!!!,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
konchjo01!!!!,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
watanyu01!!!!,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
lillada01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
mccolcj01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
nurkiju01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
anthoca01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
colliza01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
trentga02,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
whiteha01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
gabriwe01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
hezonma01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
adamsja01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
hoardja01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
simonan01,202008150POR,2,,MEM,,,,,,,,,,,,,,,,,,,
